# Tabla de Codigos Administradoras PILA
# Formato: CODIGO;NOMBRE
# Fuente: codigos reales extraidos de comparacion.csv (datos reales, no estimados)

[AFP / Fondos de Pensiones Obligatorias]
230201;PROTECCION
230301;PORVENIR
230901;SKANDIA
231001;COLFONDOS
0025-14;COLPENSIONES
0325-14;COLPENSIONES
0525-14;COLPENSIONES
0725-14;COLPENSIONES
25-14;COLPENSIONES

[EPS / Entidades Promotoras de Salud]
EPS001;ALIANSALUD EPS (ANTES COLMEDICA)
EPS002;SALUD TOTAL
EPS005;SANITAS
EPS008;COMPENSAR
EPS010;EPS SURA (ANTES SUSALUD)
EPS012;COMFENALCO VALLE
EPS017;FAMISANAR
EPS018;S.O.S. SERVICIO OCCIDENTAL DE SALUD S.A.
EPS037;NUEVA E.P.S.
EPS040;SAVIA SALUD
EPS041;NUEVA EPS MOVILIDAD
EPS046;SALUD MIA EPS
EPS048;EPS MUTUAL SER
CCFC20;COMFACHOCO
CCFC33;EPS FAMILIAR DE COLOMBIA SAS
CCFC50;COMFAORIENTE
CCFC55;CAJACOPI
EPSC25;CAPRESOCA
EPSC34;CAPITAL SALUD
EPSIC1;DUSAKAWI
EPSIC3;A.I.C.
EPSIC4;ANAS WAYUU
EPSIC5;MALLAMAS
EPSIC6;PIJAOSALUD
ESSC07;MUTUAL SER
ESSC18;EMSSANAR
ESSC24;COOSALUD MOVILIDAD
ESSC62;ASMET SALUD EPS SAS
MIN001;FOSYGA

[CCF / Cajas de Compensacion Familiar]
CCF04;COMFAMA
CCF07;COMFAMILIAR ATLANTICO
CCF08;COMFENALCO CARTAGENA
CCF10;COMFABOY
CCF11;CONFAMILIARES
CCF13;COMFACA
CCF14;COMFACAUCA
CCF15;COMFACESAR
CCF16;COMFACOR
CCF22;COLSUBSIDIO
CCF29;COMFACHOCO
CCF30;COMFAMILIAR GUAJIRA
CCF32;COMFAMILIAR HUILA
CCF33;CAJAMAG
CCF34;COFREM
CCF35;COMFAMILIAR NARINO
CCF37;COMFANORTE
CCF40;COMFENALCO SANTANDER
CCF41;COMFASUCRE
CCF43;COMFENALCO QUINDIO
CCF44;COMFAMILIAR RISARALDA
CCF48;COMFATOLIMA
CCF56;COMFENALCO VALLE
CCF63;COMFAMILIAR PUTUMAYO
CCF65;CAFAMAZ
CCF67;COMFIAR
CCF69;COMFACASANARE

[ARL / Administradoras de Riesgos Laborales]
1411;ARL SURA
1471;ARL SURA
1501;ARL POSITIVA
1511;ARL LIBERTY SEGUROS
1521;ARL COLMENA
1531;ARL BOLIVAR
1541;ARL EQUIDAD SEGUROS
1551;ARL MAPFRE
1561;ARL ASMETSALUD
2521;ARL SURA
3522;ARL SURA
5421;ARL SURA
