# Codigos administradoras autogenerados
# Formato: CODIGO;NOMBRE
# Fuente: referencias (pila_modificada / comparacion)

[AFP]
230201;PORVENIR
230301;PORVENIR
230901;PORVENIR
231001;PORVENIR

[EPS]
CCFC33;SANITAS
CCFC50;SALUD TOTAL
CCFC55;SALUD TOTAL
EPS001;SALUD TOTAL
EPS002;SALUD TOTAL
EPS005;SALUD TOTAL
EPS008;SALUD TOTAL
EPS010;SALUD TOTAL
EPS012;SANITAS
EPS017;SALUD TOTAL
EPS018;SALUD TOTAL
EPS037;SALUD TOTAL
EPS040;SALUD TOTAL
EPS041;SALUD TOTAL
EPS046;SALUD TOTAL
EPS048;SALUD TOTAL
EPSC25;COMPENSAR
EPSC34;SALUD TOTAL
EPSIC1;SALUD TOTAL
EPSIC3;SALUD TOTAL
EPSIC4;SALUD TOTAL
EPSIC5;SANITAS
EPSIC6;SALUD TOTAL
ESSC07;SALUD TOTAL
ESSC18;SALUD TOTAL
ESSC24;SALUD TOTAL
ESSC62;SALUD TOTAL
MIN001;SALUD TOTAL

[CCF]
CCF04;COLSUBSIDIO
CCF07;COLSUBSIDIO
CCF08;COLSUBSIDIO
CCF10;COLSUBSIDIO
CCF11;COLSUBSIDIO
CCF13;COLSUBSIDIO
CCF14;COLSUBSIDIO
CCF15;COLSUBSIDIO
CCF16;COLSUBSIDIO
CCF22;COLSUBSIDIO
CCF29;COMFAMA
CCF30;COLSUBSIDIO
CCF32;COLSUBSIDIO
CCF33;COLSUBSIDIO
CCF34;COLSUBSIDIO
CCF35;COLSUBSIDIO
CCF37;COLSUBSIDIO
CCF40;COLSUBSIDIO
CCF41;COLSUBSIDIO
CCF43;COLSUBSIDIO
CCF44;COLSUBSIDIO
CCF48;COLSUBSIDIO
CCF56;COLSUBSIDIO
CCF63;COMFAMA
CCF65;COMFACOR
CCF67;COLSUBSIDIO
CCF68;COMFAMILIAR ATLANTICO
CCF69;COMFAMILIAR ATLANTICO
